Customer,Employee,Product,Quantity,Price,Discount
C19,E2,P18,9,51.07,0.13
C17,E3,P15,2,301.43,0.19
C31,E1,P3,3,227.59,0.22
C24,E2,P3,1,227.59,0.15
C3,E2,P21,9,149.95,0.06
C18,E2,P14,5,236.14,0.12
C18,E2,P4,2,201.32,0.17
C17,E1,P27,1,338.46,0.18
C17,E2,P18,8,51.07,0.08
C12,E1,P11,1,289.51,0.15
C20,E2,P17,1,329.51,0.07
C7,E2,P16,7,586.42,0.03
C4,E2,P30,7,189.72,0.16
C16,E3,P17,5,329.51,0.02
C14,E2,P18,4,51.07,0.02
C14,E2,P5,6,428.82,0.23
C15,E2,P3,8,227.59,0.24
C4,E2,P16,9,586.42,0.05
C32,E2,P20,9,454.90,0.20
C2,E3,P14,2,236.14,0.20
C15,E2,P27,9,338.46,0.01
C4,E1,P3,9,227.59,0.03
C24,E3,P3,8,227.59,0.01
C25,E2,P15,7,301.43,0.04
C4,E3,P13,3,612.64,0.12
C26,E2,P19,5,109.57,0.16
C16,E1,P3,8,227.59,0.02
C29,E2,P20,8,454.90,0.22
C2,E2,P13,8,612.64,0.03
C4,E3,P28,8,592.61,0.09
C15,E1,P21,1,149.95,0.10
C17,E1,P23,5,667.66,0.11
C18,E2,P10,3,647.48,0.02
C16,E1,P19,7,109.57,0.11
C14,E3,P19,8,109.57,0.19
C23,E1,P12,2,375.79,0.15
C31,E3,P15,2,301.43,0.00
C10,E1,P20,4,454.90,0.09
C21,E3,P3,4,227.59,0.14
C17,E1,P28,7,592.61,0.14
C2,E1,P13,4,612.64,0.19
C24,E2,P8,3,534.63,0.01
C14,E1,P1,9,574.40,0.25
C27,E1,P12,3,375.79,0.11
C9,E2,P10,3,647.48,0.09
C20,E2,P30,3,189.72,0.23
C20,E2,P28,6,592.61,0.05
C26,E1,P14,4,236.14,0.19
C31,E3,P29,4,324.63,0.09
C20,E3,P22,4,594.69,0.05
C6,E3,P1,3,574.40,0.06
C13,E3,P5,1,428.82,0.22
C12,E1,P20,4,454.90,0.04
C2,E2,P13,7,612.64,0.14
C18,E3,P19,5,109.57,0.14
C11,E1,P12,9,375.79,0.18
C24,E3,P10,1,647.48,0.22
C28,E1,P22,4,594.69,0.02
C31,E1,P2,6,330.03,0.04
C28,E2,P17,2,329.51,0.24
C7,E1,P20,8,454.90,0.16
C10,E1,P16,7,586.42,0.22
C4,E3,P26,3,601.61,0.14
C14,E1,P29,5,324.63,0.12
C32,E1,P18,6,51.07,0.13
C10,E2,P20,4,454.90,0.01
C26,E1,P16,9,586.42,0.02
C19,E1,P4,4,201.32,0.10
C21,E1,P13,5,612.64,0.07
